phrase,token_length,n_prompts,elm_average_score,elm_percentile,elm_percentile_bin,linear_average_score,linear_percentile,linear_percentile_bin
unity 8k wallpaper,6,603,1004.75183350925,0.734219941942888,2,1847.74295251445,0.735177331950437,2
hime cut,4,98,1004.30568336954,0.733557133476124,2,1873.97023041394,0.764874833530744,3
sci-fi,5,226,1003.91325878042,0.732900462124792,2,1923.27631992576,0.814757307770202,3
white tank top,5,58,1003.37924194336,0.732022854617873,2,1809.08114729256,0.685638536175227,2
toned abs,4,79,1002.15488945683,0.729979195178682,2,1747.44850796084,0.590863062543343,2
city lights at night,6,54,1001.61879023799,0.729297975365619,2,1703.82953672056,0.517407927925716,2
neon city,4,60,1000.12929128011,0.726990419962809,2,1775.95424906413,0.636830057136545,2
cinematic composition,4,236,999.877359325603,0.726609918805963,2,1856.47303151276,0.744837151641985,2
scenery,3,525,998.26976289295,0.724081427247565,2,1857.44953706287,0.746040026266854,2
ground vehicle,4,60,997.931026204427,0.723363384741904,2,1753.06689860026,0.600369454349067,2
pauldrons,5,141,997.904200560658,0.723277465125842,2,1879.23979284408,0.770809424154459,3
sword,3,232,997.086111562005,0.721841380114519,2,1900.06793791672,0.792448893171232,3
holding sword,4,100,996.788869323731,0.721264491263816,2,1864.87515991211,0.754767004412586,3
fireflies,4,55,995.253618829901,0.718686902781955,2,1739.61553955078,0.57843540379151,2
dragon,3,70,995.156271362305,0.71851506354983,2,1888.03733956473,0.780278993267584,3
(abs:0.8),9,61,994.695695720735,0.717797021044169,2,1733.36334128458,0.568210969480125,2
armored dress,4,56,993.956413269043,0.716649380458197,2,1852.33375331334,0.7402097666055,2
cyberpunk,3,588,993.42602819326,0.715906789490804,2,1833.10656302316,0.717668141620076,2
muscular,3,607,993.174678896758,0.715495602756792,2,1799.09348675447,0.671247000484832,2
biceps,3,52,993.002112755409,0.715219432562307,2,1752.63890779935,0.59968209742057,2
graffiti,3,80,992.410546875,0.714182260054129,2,1862.0051940918,0.751244300154042,3
white blouse,4,50,992.058471069336,0.713666742357757,2,1783.25582763672,0.647999607224612,2
landscape,3,290,990.193951363399,0.710438619639997,2,1835.84029625202,0.720859441645238,2
plants,3,156,989.960353166629,0.710144038099213,2,1806.02286588229,0.681281184217794,2
royal palace,4,191,988.695950652916,0.708155612698919,2,1817.74419878415,0.697691830885647,2
ruins,3,207,988.459744071039,0.707689191926011,2,1877.39410488847,0.7688087245233,3
tone mapping,4,83,988.129291948066,0.707100028844443,2,1805.8443294663,0.680955917099845,2
outdoors,3,3487,988.106501363498,0.706995697882082,2,1797.99942915413,0.669596116433354,2
(abs),5,69,988.101841581041,0.706977286535782,2,1718.81421252265,0.543146990051736,2
midriff,5,741,987.79657213054,0.706504728647441,2,1746.36651240669,0.589052613490607,2
trees,3,336,987.469743365333,0.705915565565873,2,1882.61038716634,0.774258483027807,3
loafers,4,62,986.94865171371,0.705111603444149,2,1780.76091347971,0.643973659500562,2
gun,3,114,986.840378476862,0.704952038442891,2,1818.74643212034,0.698992899357444,2
bush,3,57,985.851414195278,0.703264331698815,2,1766.89445415296,0.622757651448666,2
bara,3,124,985.694052173245,0.703055669774093,2,1775.68709933373,0.636375910594502,2
arcane style,5,52,985.631426884578,0.702963613042598,2,1803.26066589355,0.677445487072166,2
dreamy atmosphere,4,67,985.433180168493,0.702583111885752,2,1797.99982327134,0.66960839066422,2
sunny day,4,109,985.018735833124,0.701963263227018,2,1807.210786312,0.683177552886592,2
garden,3,237,984.770241137798,0.701625721878203,2,1751.51198735619,0.597724357597442,2
shorts,3,462,983.484119233631,0.699539102630981,2,1807.4235522778,0.683521231350841,2
professional majestic oil painting by ed blinkey,10,691,983.081613101766,0.698888568395083,2,1825.90594146773,0.708241532314981,2
((1mechanical girl)),7,74,982.761239129144,0.698446696083907,2,1903.76922442462,0.796272316085993,3
dress shirt,4,59,982.601132926294,0.698139840312256,2,1804.06009583554,0.67855630496554,2
aurora,3,66,982.350818980824,0.697734790693678,2,1806.2871241714,0.681729193644403,2
outside,3,418,982.089411174281,0.697243821459038,2,1761.26810787511,0.613686994838686,2
swimming pool,4,50,981.821437988281,0.696752852224398,2,1829.42704589844,0.712856643120601,2
clear sky,4,94,980.254648411528,0.694169126627103,2,1781.0701592628,0.6445014514278,2
abs,3,623,980.174327280893,0.694077069895608,2,1736.74777902569,0.573623905292035,2
(ultra realistic 8k cg:1.2),13,52,980.143418532152,0.694034110087577,2,1719.70059204102,0.544908342181008,2
(full-body-shot:1),11,78,980.024176573142,0.693886819317185,2,1740.68600698618,0.580061739381256,2
extremely detailed 8k wallpaper,7,158,979.269666261311,0.692481419883027,2,1855.08983718293,0.743272187206569,2
fantasy art,4,125,978.981340576172,0.691922942378623,2,1936.69563378906,0.826804465365189,3
bodybuilder,4,72,978.082630157471,0.690394800635805,2,1698.93416002062,0.508883474589274,2
walking,3,242,978.0448665146,0.690370252174073,2,1792.18042572274,0.661120760020375,2
greg manchess,5,828,977.92234205163,0.690192275826516,2,1811.8415687303,0.689511056013453,2
village,3,64,977.909113407135,0.690167727364784,2,1817.80191707611,0.697790024732575,2
high-waist skirt,6,54,977.709803263346,0.689762677746206,2,1782.97035047743,0.647477952412807,2
upper body shot,5,52,977.251723656288,0.68893416716275,2,1760.71928523137,0.612784838870034,2
ambient occlusion,6,165,977.250125584458,0.688928030047317,2,1745.98362482244,0.588481861755338,2
short shorts,4,219,976.941871817254,0.688387963889213,2,1790.20022680553,0.658217904420564,2
pectorals,5,95,976.895940198396,0.688277495811419,2,1764.76155170641,0.619419060653112,2
lifted by self,5,63,976.593216184586,0.687774252345912,2,1740.34208364335,0.57955849591575,2
city street,4,59,976.585304389566,0.687755840999613,2,1836.08877408302,0.721104926262558,2
(full body:1.3),10,158,976.545948656299,0.687657647152685,2,1802.58129380625,0.676445137256587,2
a brutalist designed,7,207,976.405289064859,0.687448985227963,2,1739.40228802225,0.578085588211829,2
albedo and specular maps,9,128,976.178483396769,0.687117580994581,2,1807.17505645752,0.683103907501396,2
puffy sleeves,4,234,976.115002884824,0.687007112916787,2,1749.06198667869,0.593434513909772,2
green jacket,4,50,975.657579345703,0.686147916756166,2,1819.60314697266,0.70000552340389,2
long dress,4,121,975.595616112071,0.686086545601836,2,1776.71256981211,0.63810657714661,2
ultra detailed 8k cg,7,89,975.23136404659,0.685454422712237,2,1755.59868493241,0.60460406399784,2
public indecency,5,62,974.78762718939,0.684681146167678,2,1773.87617049679,0.633442369417526,2
huge file size,5,127,974.649518110621,0.684515444050987,2,1783.06870492049,0.647625243183199,2
efficient sub-pixel,6,69,974.598913220392,0.684374290396028,2,1693.91155386662,0.499990794326851,1
rocks,3,145,974.429873551994,0.684104257316976,2,1849.17490655307,0.736717747924121,2
big penis,5,86,974.253134439158,0.683754441737295,2,1783.06578951104,0.647619106067766,2
photorealistic painting art by midjourney and greg rutkowski,13,778,973.98343683944,0.683306432310685,2,1737.93724158123,0.575526411076266,2
denim shorts,4,125,973.876073486328,0.683085496155097,2,1705.37383300781,0.520218726794032,2
